"wine_name","style"
"I Sodi 2011 Chianti Classico","Medium-Bodied Red Wines"
"Lamole di Lamole 2010 Blu Label","Medium-Bodied Red Wines"
"Aldegheri 2005 Il Groto Red","Medium-Bodied Red Wines"
"Carpineto 2013 Chianti Classico","Medium-Bodied Red Wines"
"Príncipe de Viana 2011 Edición Limitada Red","Full-Bodied Red Wines"
"Le Fonti 2012 Chianti Classico","Medium-Bodied Red Wines"
"Waterbrook 2013 Mélange Red Varietal Blend Red","Full-Bodied Red Wines"
"MontGras 2013 Quatro Red","Medium-Bodied Red Wines"
"Rock Wall 2012 Rock Hound White","Light-Bodied White Wines"
"Roth 2011 Heritage Red","Medium-Bodied Red Wines"
"Ziobaffa 2015 Red","Medium-Bodied Red Wines"
"Ambrogio e Giovanni Folonari 2013 Cabreo Il Borgo Red","Full-Bodied Red Wines"
"Baracchi 2012 Ardito Red","Full-Bodied Red Wines"
"Marchesi de' Frescobaldi 2012 Pietraregia Riserva","Medium-Bodied Red Wines"
"Livernano 2011 Riserva","Medium-Bodied Red Wines"
"Nottola 2013 Rosso di Montepulciano","Medium-Bodied Red Wines"
"Casa Emma 2012 Riserva","Medium-Bodied Red Wines"
"Monte Volpe 2009 Primo Rosso Red","Medium-Bodied Red Wines"
"The Loyal Companion NV Red","Medium-Bodied Red Wines"
"Proemio 2013 Grand Reserve Winemaker's Selection Red","Medium-Bodied Red Wines"
"Proulx 2014 Jack Barret Red","Full-Bodied Red Wines"
"Clos de Gat 2015 Chanson Rouge Red","Full-Bodied Red Wines"
"Galaxy 2014 Blanc White","Light-Bodied White Wines"
"Brutocao 2012 Uber Tuscan Style Hopland Ranches Estate Bottled Red","Medium-Bodied Red Wines"
"Domaine d'Alzipratu 2015 Pumonte White","Aromatic White Wines"
"Fattoria di Magliano 2014 Heba","Medium-Bodied Red Wines"
"Gorman 2013 Zachary's Ladder Red","Full-Bodied Red Wines"
"Rocca delle Macìe 2012 Campomaccione","Medium-Bodied Red Wines"
"Tarara 2008 Winemaker's Select Bin #4 Red","Full-Bodied Red Wines"
"Terre di Melazzano 2009 Elikia Riserva","Medium-Bodied Red Wines"
"Castello di Monsanto 2010 Riserva","Full-Bodied Red Wines"
"Domaine Berthet-Bondet 2008 Vin de Paille White","Dessert & Fortified Wines"
"868 Estate 2012 Meritage Red","Full-Bodied Red Wines"
"Fiddlebender NV Evolution White","Aromatic White Wines"
"Pedroncelli 2015 Friends White","Light-Bodied White Wines"
"Scala Dei 2007 Cartoixa Red","Full-Bodied Red Wines"
"Argiano 2010 Solengo Red","Medium-Bodied Red Wines"
"Atalaya 2011 La Atalaya Red","Medium-Bodied Red Wines"
"Mosquito Fleet 2010 Sophia Red","Full-Bodied Red Wines"
"ONX 2010 Mad Crush Red","Full-Bodied Red Wines"
"Bon Niche 2010 Escaliers Stairs Red","Medium-Bodied Red Wines"
"Silver Horse 2012 Lazy J Viognier-Albariño White","Aromatic White Wines"
"Stift Klosterneuburg 2011 Escorial Red","Medium-Bodied Red Wines"
"14 Hands 2012 Hot To Trot White","Light-Bodied White Wines"
"Kirnbauer 2011 Das Phantom Red","Full-Bodied Red Wines"
"Knight Hill 2010 StoneTree Vineyard Red","Full-Bodied Red Wines"
"Pala 2013 Entemari White","Aromatic White Wines"
"Septima 2007 Gran Reserva Red","Full-Bodied Red Wines"
"Di Arie 2009 Interlude Red","Full-Bodied Red Wines"
"Finca Casa Lo Alto 2009 Crianza Red","Medium-Bodied Red Wines"
"Airfield Estates 2010 Mustang Red","Full-Bodied Red Wines"
"Amalaya 2010 Red","Medium-Bodied Red Wines"
"Bradgate 2009 Cabernet Sauvignon-Merlot-Shiraz Red","Full-Bodied Red Wines"
"De Stefani 2008 Terre Nobili Red","Medium-Bodied Red Wines"
"Dominio de Eguren 2007 Protocolo Red","Medium-Bodied Red Wines"
"Psagot 2007 Edom Kosher Red","Medium-Bodied Red Wines"
"Château Musar 1999 Gaston Hochar Red","Full-Bodied Red Wines"
"Fattoria Le Sorgenti 2006 Sghirà White","Full-Bodied White Wines"
"Vecchia Cantina di Montepulciano 2008 Poggio Stella Pleos Red","Medium-Bodied Red Wines"
"Naia 2011 Las Brisas White","Aromatic White Wines"
"Le Piane 2007 Boca, Proprietà Sperino 2013 Uvaggio Red","Full-Bodied Red Wines"
"Quintas de Melgaço 1998 Torre de Menagem White","Light-Bodied White Wines"
"Vigne Surrau 2013 Barriu Red","Medium-Bodied Red Wines"
"Vigneti del Vulture 2011 Pipoli White","Aromatic White Wines"
"Cottanera 2011 Barbazzale White","Full-Bodied White Wines"
"Donnafugata 2011 Anthìlia White","Light-Bodied White Wines"
"Buty 2009 Sémillon/Sauvignon/Muscadelle White","Aromatic White Wines"
"Boscarelli 2012 Prugnolo","Medium-Bodied Red Wines"
"Caliterra 2010 Cenit Red","Full-Bodied Red Wines"
"Domaine de Gensac 2012 Piaffer Red","Medium-Bodied Red Wines"
"Hafner 2008 Old Vienna Composition Ice Wine Eiswein Grand Cuvée Red","Dessert & Fortified Wines"
"Tenuta Il Faggeto 2012 Lupaio","Medium-Bodied Red Wines"
"Tsillan 2013 Estate Sempre Amore White","Full-Bodied White Wines"
"Sweet Valley Wines 2007 Double Barrel Red Blend Red","Full-Bodied Red Wines"
"Bovin 2007 Symphony White","Aromatic White Wines"
"Bargetto 2004 La Vita Regan Vineyards Red","Medium-Bodied Red Wines"
"Kriselle 2014 Di'tani Red","Medium-Bodied Red Wines"
"Cerulean 2013 Red Sky Red","Medium-Bodied Red Wines"
"X 2009 Saved Red","Medium-Bodied Red Wines"
"X 2008 Mash Red","Full-Bodied Red Wines"
"Beresan 2010 The Buzz Yellow Jacket Vineyard Red","Full-Bodied Red Wines"
"Di Majo Norante 2009 Don Luigi Riserva Red","Full-Bodied Red Wines"
"Herzog 2005 Special Reserve Cabernet Sauvignon-Zinfandel-Syrah Red","Full-Bodied Red Wines"
"Adamant Cellars 2007 Bliss White Wine White","Aromatic White Wines"
"Tenuta Rapitalà 2007 Casalj White","Light-Bodied White Wines"
"Tommasone 2007 Pithecusa White","Light-Bodied White Wines"
"Conti di Sn Bonifacio 2012 Docet Red","Medium-Bodied Red Wines"
"Eufloria NV Aromatic Blend White","Aromatic White Wines"
"Lornano 2012 Commendator Enrico Red","Medium-Bodied Red Wines"
"Marchesi de' Frescobaldi 2012 Lamaione Red","Medium-Bodied Red Wines"
"Pietro Beconcini 2014 Maurleo Red","Medium-Bodied Red Wines"
"Poggio Mandorlo 2010 La Querce","Medium-Bodied Red Wines"
"Sangervasio 2010 A Sirio Red","Medium-Bodied Red Wines"
"Sawtooth 2013 Estate Grown Skyline Red","Full-Bodied Red Wines"
"Sequum 2013 MIXT Red","Medium-Bodied Red Wines"
"Canneto 2006 Filippone Red","Medium-Bodied Red Wines"
"Podere Brizio 2007 Leonensis Red","Medium-Bodied Red Wines"
"Podere Sapaio 2008 Volpolo","Medium-Bodied Red Wines"
"Donna Olimpia 1898 2007 Millepassi","Full-Bodied Red Wines"
"Grattamacco 2006 L'Alberello","Full-Bodied Red Wines"
"Tenuta San Guido 2008 Guidalberto Red","Medium-Bodied Red Wines"
"Savannah-Chanelle 2009 Montmarte Red","Medium-Bodied Red Wines"
"LXV 2010 Crimson Jewel Red","Full-Bodied Red Wines"
"Masia Puigmoltó 2011 Emendis Trio Varietal Macabeo-Chardonnay-Muscat White","Aromatic White Wines"
"Krupp Brothers 2014 Stagecoach Vineyard The Doctor Red","Full-Bodied Red Wines"
"Matarromera 2011 Gran Reserva","Full-Bodied Red Wines"
"Domaine Rotier 2012 Les Gravels Red","Medium-Bodied Red Wines"
"Domaine Rotier 2012 Les Gravels White","Light-Bodied White Wines"
"Fattoria Montellori 2010 Salamartano Red","Medium-Bodied Red Wines"
"Aljibes 2012 Viña Aljibes Cabernet Sauvignon-Syrah-Cabernet Franc-Tempranillo Red","Full-Bodied Red Wines"
"La Folia Winery 2011 Red","Medium-Bodied Red Wines"
"Marchesi de' Frescobaldi 2013 Terre More dell'Ammiraglia Red","Medium-Bodied Red Wines"
"Mazzoni 2012 Red","Medium-Bodied Red Wines"
"Fattoria Mantellassi 2009 Riserva Le Sentinelle","Medium-Bodied Red Wines"
"Frédéric Lornet 2006 Vin de Paille White","Dessert & Fortified Wines"
"Al Zagal 2008 Rey Zagal Red","Full-Bodied Red Wines"
"Bulgariana 2012 White","Light-Bodied White Wines"
"Sutcliffe 2009 Ael y Bryn Red","Medium-Bodied Red Wines"
"La Castellina 2010 Squarcialupi Riserva","Full-Bodied Red Wines"
"La Castellina 2010 Tommaso Bojola Riserva","Full-Bodied Red Wines"
"La Selva 2011 Morellino di Scansano","Medium-Bodied Red Wines"
"Loacker 2011 Valdifalco","Medium-Bodied Red Wines"
"Marchesi de' Frescobaldi 2010 Riserva Pietraregia dell'Ammiraglia","Medium-Bodied Red Wines"
"Querceto di Castellina 2011 Sei Gran Selezione","Full-Bodied Red Wines"
"Plumia 2012 Red","Medium-Bodied Red Wines"
"Marqués de Cáceres 2006 Satinela Medium-Sweet White","Dessert & Fortified Wines"
"Recanati 2006 Yasmin Red Kosher Red","Medium-Bodied Red Wines"
"Kadesh Barnea 2005 Estate Bottled Gilad Kosher Dry Red Wine Red","Medium-Bodied Red Wines"
"Cantina Fratelli Pardi 2010 Montefalco Rosso","Medium-Bodied Red Wines"
"Domaine de Lartigue 2011 Red","Medium-Bodied Red Wines"
"Producteurs Plaimont 2009 Les Vignes Retrouvées","Medium-Bodied Red Wines"
"Millésimé 2007 Scoprire Red","Full-Bodied Red Wines"
"Agricola Castellana 2011 Inspiración Pampano White","Light-Bodied White Wines"
"Bodegas Recuero 2009 Sigilo MV Red","Medium-Bodied Red Wines"
"Accordini Igino 2011 Le Bessole","Full-Bodied Red Wines"
"Chronic Cellars 2014 Purple Paradise Red","Medium-Bodied Red Wines"
"Corteforte 2008 Riserva","Full-Bodied Red Wines"
"Yves Leccia 2013 E Croce Red","Medium-Bodied Red Wines"
"Luna Beberide 2008 Finca La Cuesta Red","Medium-Bodied Red Wines"
"Miguel Torres 2005 Conde de Superunda Red","Medium-Bodied Red Wines"
"Murrieta's Well 2007 Zarzuela Red","Medium-Bodied Red Wines"
"Greyscale 2008 Cuvée Blanc Galleron Road Vineyard White","Aromatic White Wines"
"Red C 2014 Red","Medium-Bodied Red Wines"
"Fattoria Alois 2007 Settimo Red","Medium-Bodied Red Wines"
"Velocity 2007 Red Wine Red","Medium-Bodied Red Wines"
"Chilcas 2008 Red One Red","Medium-Bodied Red Wines"
"Helix by Reininger 2008 Pomatia Red","Medium-Bodied Red Wines"
"Cipriana 2010 Bolgheri","Medium-Bodied Red Wines"
"Russiz Superiore 2012 Horus White","Full-Bodied White Wines"
"Locati Cellars 2009 Innovation Red","Medium-Bodied Red Wines"
"Patterson NV Due Anni Red","Medium-Bodied Red Wines"
"Two Brothers 2010 Fiore Rosso Red","Medium-Bodied Red Wines"
"19 Crimes 2013 Red","Medium-Bodied Red Wines"
"Weisinger 2011 Petit Pompadour Red","Light-Bodied Red Wines"
"Nine Hats 2014 Red","Medium-Bodied Red Wines"
"Condé 2013 Predappio Red","Medium-Bodied Red Wines"
"Arnaldo Caprai 2011 Montefalco Rosso","Medium-Bodied Red Wines"
"Capafons-Ossó 2007 Sirsell Red","Medium-Bodied Red Wines"
"Fielding Hills 2014 Estate Tribute Riverbend Vineyard Red","Full-Bodied Red Wines"
"Fondo Antico 2014 I Versi Red","Medium-Bodied Red Wines"
"Baglio di Pianetto 2015 Ficiligno White","Aromatic White Wines"
"Cantine Europa 2015 Eughenes Grillo-Zibibbo White","Medium-Bodied Red Wines"
"Marqués de Valdueza 2009 Vendimia Tardia Late Harvest Red","Dessert & Fortified Wines"
"Capichera 2010 Mantènghja Red","Medium-Bodied Red Wines"
"Lamoretti 2008 Vigna del Guasto Red","Medium-Bodied Red Wines"
"Murrieta's Well 2010 The Spur Red","Medium-Bodied Red Wines"
"Nino Negri 2011 Ca' Brione","Medium-Bodied Red Wines"
"M2 2014 Duality Red","Medium-Bodied Red Wines"
"Mesa 2009 Malombra Red","Medium-Bodied Red Wines"
"Ruca Malen 2008 Kinien de Don Raúl Red","Medium-Bodied Red Wines"
"Can Blau 2006 Mas de Can Blau Red","Medium-Bodied Red Wines"
"Sineann 2007 Red Table Wine Red","Medium-Bodied Red Wines"
"Tua Rita 2013 Giusto di Notri Red","Full-Bodied Red Wines"
"Tenuta Monteti 2011 Monteti Red","Full-Bodied Red Wines"
"Estampa 2012 LaCruz Red","Medium-Bodied Red Wines"
"Ponte da Boga 2011 Blanco de Blancos White","Full-Bodied White Wines"
"Cliff Creek 2015 Red Red Wine Red","Medium-Bodied Red Wines"
"Terre Rouge 2015 Enigma White","Aromatic White Wines"
"Vinum Cellars 2015 White Elephant White","Light-Bodied White Wines"
"AuburnJames 2012 Diablo Rosso Red","Medium-Bodied Red Wines"
"Castello dei Rampolla 2012 Sammarco Red","Full-Bodied Red Wines"
"Netzl 2014 Anna-Christina Red","Medium-Bodied Red Wines"
"Corvo 2013 Bianco White","Aromatic White Wines"
"Dominio de Eguren 2012 Protocolo White","Light-Bodied White Wines"
"William Church 2012 2 Spires Red","Medium-Bodied Red Wines"
"Hatzimichalis 2014 Kapinas White","Aromatic White Wines"
"Drytown NV Vaira Ranch Red","Medium-Bodied Red Wines"
"Planeta 2007 La Segreta White","Aromatic White Wines"
"Red Newt Cellars 2007 Syrah-Cabernet Franc Red","Medium-Bodied Red Wines"
"Feudo di Santa Tresa 2005 Cerasuolo di Vittoria","Medium-Bodied Red Wines"
"Feudo di Santa Tresa 2006 Rina Ianca White","Light-Bodied White Wines"
"Di Majo Norante 2012 Ramitello Red","Medium-Bodied Red Wines"
"Round Pond 2014 Proprietary White","Aromatic White Wines"
"Terre di Giurfo 2012 Maskaria Red","Medium-Bodied Red Wines"
"Hillinger 2013 Hill 1 Red","Medium-Bodied Red Wines"
"Santa Alicia 2013 Anke Red","Medium-Bodied Red Wines"
"Alexandria Nicole 2012 Seattle U Redhawks White Wine Destiny Ridge Vineyard White","Light-Bodied White Wines"
"Wilson 2009 Roger's Fault Red","Medium-Bodied Red Wines"
"Eleven 2010 La Ronde Red","Medium-Bodied Red Wines"
"Doolhof 2007 Minotaur Red","Medium-Bodied Red Wines"
"Muratie 2007 Ansela Van de Caab Red","Medium-Bodied Red Wines"
"O'Vineyards 2006 Proprietor's Reserve Red","Medium-Bodied Red Wines"
"Il Roncal 2006 Ploe di Stelis White","Light-Bodied White Wines"
"Le Classique from the 3 Springs Vineyard 2005 Red","Medium-Bodied Red Wines"
"Georges Vigouroux 2005 Château Leret Monpezat Red","Medium-Bodied Red Wines"
"Aranleón 2014 Blés Crianza Organic Wine Red","Medium-Bodied Red Wines"
"Château Bellevue la Forêt 2012 Red","Medium-Bodied Red Wines"
"Feudo Antico 2008 Tullum Red","Medium-Bodied Red Wines"
"Ravenswood 2014 Besieged Red","Medium-Bodied Red Wines"
"Roblar 2013 Sangre de Dioses Red","Medium-Bodied Red Wines"
"Doyenne 2007 Métier White White","Light-Bodied White Wines"
"Pininfarina 2005 Vino Rosso Red","Medium-Bodied Red Wines"
"Sparkman 2006 Stella Mae Red Red","Medium-Bodied Red Wines"
"Tenuta delle Terre Nere 2006 Guardiola","Medium-Bodied Red Wines"
"I Vigneri 2004 Vinupetra","Medium-Bodied Red Wines"
"Barrister NV ‘Rough Justice' Red Red","Medium-Bodied Red Wines"
"Château Romanin 2006 Red","Medium-Bodied Red Wines"
"Wise Villa 2011 Wisdom of Wise Red","Medium-Bodied Red Wines"
"Calderona 1996 Reserva Red","Medium-Bodied Red Wines"
"Áldás 2005 Egri Bikavér Red","Medium-Bodied Red Wines"
"Reid Family Vineyards 2008 Hannah's Blend Red","Medium-Bodied Red Wines"
"Saviah 2008 Une Vallée Red Red","Medium-Bodied Red Wines"
"Castello di Bossi 2002 Vin San Laurentino White","Dessert & Fortified Wines"
"Col Solare 2008 Red Red","Medium-Bodied Red Wines"
"Domìni Veneti 2008 Costacalda Passito White","Dessert & Fortified Wines"
"Di Giovanna 2012 Helios Red","Full-Bodied Red Wines"
"I Capitani 2009 Emè Red","Medium-Bodied Red Wines"
"Lone Birch 2012 Red","Medium-Bodied Red Wines"
"Trinitas 2014 Mysteriama Red","Full-Bodied Red Wines"
"Duca di Salaparuta 2005 Triskelè Red","Medium-Bodied Red Wines"
"Losi Querciavalle 2011 Millennium Gran Selezione","Full-Bodied Red Wines"
"Domaine Coustarret 2013 Renaissance","Aromatic White Wines"
"Domaine des Terrisses 2014 Grande Tradition Red","Medium-Bodied Red Wines"
"Undurraga 2011 T.H. Terroir Hunter Rarities Garnacha-Cariñena-Monastrell Red","Medium-Bodied Red Wines"
"Sanguis 2012 Chinese Fortunes White","Full-Bodied White Wines"
"Siegel 2012 Unique Selection Red","Medium-Bodied Red Wines"
"Terraprima 2011 Massís del Garraf White","Full-Bodied White Wines"
"Domaine du Tariquet 2015 Classic White","Aromatic White Wines"
"Producteurs Plaimont 2015 Colombelle L'Original White","Light-Bodied White Wines"
"Le Regge 2012 Chianti Classico","Full-Bodied Red Wines"
"Cantalici L'Antica Fornace di Ridolfo 2012 Chianti Classico","Full-Bodied Red Wines"
"Carus Vini 2012 Gàudio Riserva","Full-Bodied Red Wines"
"Fattoria Montecchio 2011 Riserva","Full-Bodied Red Wines"
"La Castellina 2012 Chianti Classico","Full-Bodied Red Wines"
"Genoa 2013 Springline Super Tuscan-style White","Full-Bodied White Wines"
"I Greppi 2012 Greppicante","Medium-Bodied Red Wines"
"Donne Fittipaldi 2011 Bolgheri Superiore","Full-Bodied Red Wines"
"Caccia al Piano 1868 2012 Ruit Hora","Full-Bodied Red Wines"
"Hunky Dory 2016 Tangle Estate Grown Organic Pinot Gris-Gewurztraminer-Riesling White","Aromatic White Wines"
"Domaine Bott-Geyl 2014 Points Cardinaux Métiss White","Aromatic White Wines"
"Francis Tannahill 2012 Sundown Red","Medium-Bodied Red Wines"
"Valle Hermoso 2013 Magico Red","Medium-Bodied Red Wines"
"Occhipinti 2015 SP 68 Red","Medium-Bodied Red Wines"
"City Winery Chicago 2013 Randolph Reserve Red","Medium-Bodied Red Wines"
"Waxwing 2014 Red","Medium-Bodied Red Wines"
"Rock Point NV River Rock Red Wine Red","Medium-Bodied Red Wines"
"Anthony Road 2006 Cabernet Franc-Lemberger Red","Medium-Bodied Red Wines"
"Bodegas Eguren 2007 Reinares White","Full-Bodied White Wines"
"Chozas Carrascal 2006 Las Dosces Red","Medium-Bodied Red Wines"
"Dos Cabezas 2006 White White","Aromatic White Wines"
"Shafer 2009 Relentless Red","Full-Bodied Red Wines"
"Can Blau 2009 Mas de Can Blau Red","Full-Bodied Red Wines"
"Faunus 2011 Red","Medium-Bodied Red Wines"
"Estate Biblia Chora 2014 White","Aromatic White Wines"
"Cave du Marmandais 2014 Château la Vieille Eglise Red","Medium-Bodied Red Wines"
"Fattoria Del Cerro 2006 Antonio da Sangallo","Dessert & Fortified Wines"
"ONX 2011 Praetorian Red","Full-Bodied Red Wines"
"Tenuta Rapitalà 2006 Nuhar Red","Full-Bodied Red Wines"
"Cusumano 2007 Benuara Red","Medium-Bodied Red Wines"
"Valle dell'Acate 2006 Cerasuolo di Vittoria","Medium-Bodied Red Wines"
"Col Solare 2012 Red","Medium-Bodied Red Wines"
"Le Macchiole 2012 Rosso","Medium-Bodied Red Wines"
"Renwood 2012 Red","Medium-Bodied Red Wines"
"Carlisle 2013 The Derivative White","Full-Bodied White Wines"
"Schulz 2007 Samuel's Cuveé Red","Full-Bodied Red Wines"
"Masi 2006 Modello delle Venezie Red","Medium-Bodied Red Wines"
"Gorgo 2005 Podere Monte Maggiore","Medium-Bodied Red Wines"
"Domaine Bott-Geyl 2014 Métiss White","Aromatic White Wines"
"Viña Tarapacá 2013 Gran Reserva Etiqueta Azul Red","Full-Bodied Red Wines"
"Bibi Graetz 2009 Testamatta Soffocone di Vincigliata Red","Full-Bodied Red Wines"
"A.A. Badenhorst Family Wines 2010 Secateurs Red","Full-Bodied Red Wines"
"Agricola Querciabella 2009 Mongrana","Full-Bodied Red Wines"
"Robert Karl 2005 Claret Red Wine Red","Full-Bodied Red Wines"
"Shoofly 2007 Buzz Cut White","Light-Bodied White Wines"
"L'Antica Fornace di Ridolfo 2010 Cantalici","Full-Bodied Red Wines"
"Ferrer Bobet 2009 Vinyes Velles Red","Full-Bodied Red Wines"
"La Folia Winery 2010 The Madness Red","Medium-Bodied Red Wines"
"Dragonette 2010 Seven Red","Medium-Bodied Red Wines"
"Yazgan 2013 Mahra Bogazkere-Öküzgözü Red","Medium-Bodied Red Wines"
"Teliani Valley 2013 Tsinandali White","Full-Bodied White Wines"
"Domaine Bousquet 2015 Gaia White","Aromatic White Wines"
"Pellegrini Vineyards 2016 Rejoyce White","Light-Bodied White Wines"
"Terre de Loups 2014 Les Landes Red","Medium-Bodied Red Wines"
"Shooting Star 2014 Cote de Columbia Red","Medium-Bodied Red Wines"
"Poggio Argentiera 2011 Bellamarsilia","Medium-Bodied Red Wines"
"Arizona Angel NV Artige White","Light-Bodied White Wines"
"Michele Satta 2012 I Castagni","Full-Bodied Red Wines"
"Boscarelli 2012 Riserva","Full-Bodied Red Wines"
"Collazzi 2012 I Bastioni","Full-Bodied Red Wines"
"Farnetella 2012 Chianti Colli Senesi","Medium-Bodied Red Wines"
"Fattorie Parri 2012 Tenuta Il Monte","Full-Bodied Red Wines"
"Foundry Vineyards 2012 Foundry Red","Medium-Bodied Red Wines"
"Grati 2013 Villa di Vetrice","Full-Bodied Red Wines"
"Vecchia Cantina di Montepulciano 2012 Vino Nobile di Montepulciano","Full-Bodied Red Wines"
"La Querce 2012 La Torretta","Full-Bodied Red Wines"
"Mannucci Droandi 2012 Chianti Colli Aretini","Full-Bodied Red Wines"
"Casa Gran del Siurana 2010 Gran Cruor Red","Full-Bodied Red Wines"
"Galvan 2013 Viejo Red","Medium-Bodied Red Wines"
"Law 2012 Beyond Category Red","Full-Bodied Red Wines"
"Vino V 2005 Confundido Red","Medium-Bodied Red Wines"
"Cana 2007 Red","Medium-Bodied Red Wines"
"Chronic Cellars 2006 El Perfecto Red","Medium-Bodied Red Wines"
"Vinavanti NV La Zingara Cuvée #4 White","Aromatic White Wines"
"Peirano 2007 The Other White","Light-Bodied White Wines"
"Trinity River 2014 Black Bear Cuvée Red","Medium-Bodied Red Wines"
"Marqués de Cáceres 2000 Blanco White","Light-Bodied White Wines"
"Marqués de Riscal 2000 White","Light-Bodied White Wines"
"Goundrey 1999 Shiraz-Grenache Red","Medium-Bodied Red Wines"
"Bodegas Vegalfaro 2016 Caprasia Red","Medium-Bodied Red Wines"
"Canoe Ridge 2015 The Expedition Red","Medium-Bodied Red Wines"
"Marco Abella 2009 Loidana Red","Full-Bodied Red Wines"
"Poggio al Casone 2011 Casone Red","Medium-Bodied Red Wines"
"Poggio Borgoni 2013 Red","Medium-Bodied Red Wines"
"Rippey NV The Crossing Red","Medium-Bodied Red Wines"
"Agricoltori del Chianti Geografico 2012 Ferraiolo Red","Full-Bodied Red Wines"
"Castello di Montepò 2011 Braccale Red","Full-Bodied Red Wines"
"Domaine du Rey 2014 4 Cépages White","Aromatic White Wines"
"Mocine 2009 Red","Full-Bodied Red Wines"
"Borra NV Lot 09 47.5 Degree Limited Release Red","Full-Bodied Red Wines"
"Spann Vineyards 2004 Twenty-Three Barrels Mo Jo Red","Full-Bodied Red Wines"
"Spann Vineyards 2004 Mo Zin Red","Full-Bodied Red Wines"
"Hatcher 2005 Sewell Red","Full-Bodied Red Wines"
"Tenuta dell'Ornellaia 2004 Ornellaia","Full-Bodied Red Wines"
"Tenuta San Guido 2004 Sassicaia","Full-Bodied Red Wines"
"Marchesi Antinori 2004 Solaia Red","Full-Bodied Red Wines"
"Tenuta Sette Ponti 2005 Oreno Red","Full-Bodied Red Wines"
"Podere Sapaio 2004 Sapaio","Full-Bodied Red Wines"
"Castello del Terriccio 2004 Castello del Terriccio Red","Full-Bodied Red Wines"
"Marchesi Antinori 2004 Tignanello Red","Full-Bodied Red Wines"
"Avignonesi 2004 Desiderio Red","Full-Bodied Red Wines"
"Stephen Vincent 2005 Crimson Red","Medium-Bodied Red Wines"
"Bogle 2004 Phantom Old Vine Red","Full-Bodied Red Wines"
"Drei Donà Tenuta La Palazza 2006 Vigneti delle Rosenere Blanc d'R White","Full-Bodied White Wines"
"Masi Tupungato 2014 Passo Doble Malbec-Corvina Red","Full-Bodied Red Wines"
"Big DeVine 2014 Red","Medium-Bodied Red Wines"
"Bindella 2014 Fossolupaio","Medium-Bodied Red Wines"
"Brooklyn Oenology 2014 Social Club White","Aromatic White Wines"
"Domìni Veneti 2008 San Rocco","Full-Bodied Red Wines"
"Campo della Maestà 2008 Riserva","Full-Bodied Red Wines"
"Cantina Tudernum 2010 Fidenzio","Medium-Bodied Red Wines"
"Bostavan 2015 Dor Rara Neagra-Cabernet Sauvignon Red","Full-Bodied Red Wines"
"Girasole 2015 Hybrid Red","Medium-Bodied Red Wines"
"Laissez Faire 2016 Red","Medium-Bodied Red Wines"
"Lake and Vine Cellars 2013 Red","Medium-Bodied Red Wines"
"Cecchi 2011 La Mora Riserva","Medium-Bodied Red Wines"
"Toccata 2011 Classico Red","Medium-Bodied Red Wines"
"Villa S. Anna 2010 Poldo","Full-Bodied Red Wines"
"Wieninger 2014 White","Aromatic White Wines"
"David Hill NV Farmhouse Red","Medium-Bodied Red Wines"
"GrapeHeart Vineyards 2010 The Beat Red","Medium-Bodied Red Wines"
"Oveja Negra 2011 The Lost Barrel Red","Full-Bodied Red Wines"
"Twisted Cedar 2013 Petit-Petite Red","Light-Bodied Red Wines"
"Yatir 2009 Red Wine Red","Full-Bodied Red Wines"
"Luis Felipe Edwards 2010 LFE900 Single Vineyard Red","Full-Bodied Red Wines"
"Vinyes Doménech 2006 Furvus Red","Full-Bodied Red Wines"
"Doyenne 2007 Aix Red","Full-Bodied Red Wines"
"Atalaya 2007 Red","Medium-Bodied Red Wines"
"Caliterra 2007 Tributo Edicion Limitada Red","Full-Bodied Red Wines"
"Casa di Baal 2012 White","Aromatic White Wines"
"Gurra di Mare 2011 Tirsat White","Light-Bodied White Wines"
"Casas del Toqui 2010 Codigo del Toqui Red","Medium-Bodied Red Wines"
"Columbia Crest 2012 H3 Les Chevaux Red","Medium-Bodied Red Wines"
"Fess Parker 2011 The Big Easy Red","Full-Bodied Red Wines"
"Apothic 2011 Winemaker's Blend White","Aromatic White Wines"
"Villa Mari 2007 Row 7 Red Red","Full-Bodied Red Wines"
"Barboursville Vineyards 2014 Passito White","Dessert & Fortified Wines"
"Brutocao 2013 Uber Tuscan Style Hopland Ranches Estate Bottled Red","Full-Bodied Red Wines"
"Gino Fasoli 2015 Tasi","Full-Bodied Red Wines"
"Gorgo 2016 Bardolino Chiaretto","Rosé Wines"
"Viña Costeira 2008 White","Aromatic White Wines"
"Tsantali 2005 Metoxi X Red","Medium-Bodied Red Wines"
"Tsantali 2006 Rapsani Red","Full-Bodied Red Wines"
"Rocca 2005 Bad Boy Red","Medium-Bodied Red Wines"
"Ten Mile 2005 Proprietary Red Wine Red","Medium-Bodied Red Wines"
"Fiesta Winery NV Side Saddle White","Light-Bodied White Wines"
"Fiesta Winery NV Skinny Dippin White","Light-Bodied White Wines"
"Kracher 2012 Nouvelle Vague Nr. 6 Grande Cuvée Trockenbeerenauslese White","Dessert & Fortified Wines"
"Star Angel by Montes 2007 Aurelio's Selection Red","Full-Bodied Red Wines"
"Lagarde 2010 Henry Gran Guarda N°1 Red","Full-Bodied Red Wines"
"Al-Cantàra 2013 Luci Luci Bianco","Aromatic White Wines"
"Alexander 2009 The Great Amarolo Red","Full-Bodied Red Wines"
